,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine(in-CC),Power(in-bhp),Colour,Seats,Price,company_name
31,Honda Amaze,Hyderabad,2014,97236.0,Diesel,Manual,25.8,1498,98.6,White,5.0,4.4,Honda
32,Maruti Wagon,Kochi,2011,15466.0,Petrol,Manual,22.5,998,67.04,White,5.0,3.36,Maruti
33,Hyundai Xcent,Pune,2016,51000.0,Diesel,Manual,24.4,1120,71.0,White,5.0,5.25,Hyundai
34,Jaguar F,Hyderabad,2015,8000.0,Petrol,Automatic,12.5,5000,488.1,Others,2.0,100.0,Jaguar
35,BMW 3,Chennai,2009,137000.0,Diesel,Automatic,13.2,1995,170.0,Others,5.0,9.0,BMW
36,Mercedes-Benz C-Class,Mumbai,2018,8682.0,Diesel,Automatic,0.0,1950,194.0,White,5.0,39.5,Mercedes-Benz
37,Volkswagen Polo,Kolkata,2012,55339.0,Diesel,Manual,22.07,1199,73.9,White,5.0,2.65,Volkswagen
38,Renault Duster,Delhi,2016,26000.0,Diesel,Manual,19.64,1461,108.45,White,5.0,10.0,Renault
39,BMW 5,Mumbai,2013,78000.0,Diesel,Automatic,18.48,1995,177.0,Others,5.0,19.5,BMW
40,Mahindra Thar,Coimbatore,2019,16392.0,Diesel,Manual,16.55,2498,105.0,White,6.0,10.36,Mahindra
41,BMW 3,Chennai,2010,83000.0,Diesel,Automatic,16.07,1995,181.0,Others,5.0,12.75,BMW
42,Maruti Alto,Hyderabad,2013,54000.0,Petrol,Manual,20.92,998,67.0,Others,5.0,2.75,Maruti
43,Hyundai i20,Kolkata,2016,19008.0,Petrol,Manual,17.0,1197,80.0,Others,5.0,5.25,Hyundai
44,Hyundai i10,Kolkata,2015,18000.0,Petrol,Manual,20.36,1197,78.9,White,5.0,2.85,Hyundai
45,Honda Amaze,Delhi,2015,48000.0,Diesel,Manual,25.8,1498,98.6,Others,5.0,4.5,Honda
46,Audi A3,Mumbai,2016,39000.0,Diesel,Automatic,20.38,1968,143.0,Others,5.0,18.9,Audi
47,Tata Xenon,Pune,2014,85000.0,Diesel,Manual,13.49,2179,138.03,White,5.0,3.5,Tata
48,Toyota Innova,Coimbatore,2019,31271.0,Diesel,Manual,13.68,2393,147.8,White,8.0,21.42,Toyota
49,BMW X1,Pune,2011,102000.0,Diesel,Automatic,15.06,1995,177.0,Others,5.0,13.75,BMW
50,Hyundai Getz,Hyderabad,2006,63181.0,Petrol,Manual,15.3,1341,83.0,Black/Silver,5.0,1.85,Hyundai
51,Audi Q7,Bangalore,2014,45000.0,Diesel,Automatic,12.07,2967,241.4,White,7.0,37.9,Audi
52,Volkswagen Vento,Jaipur,2013,144000.0,Diesel,Manual,20.54,1598,103.6,Black/Silver,5.0,7.0,Volkswagen
53,BMW 3,Mumbai,2010,67000.0,Diesel,Automatic,22.69,1995,190.0,White,5.0,9.25,BMW
54,Volkswagen Vento,Jaipur,2013,125000.0,Diesel,Manual,20.54,1598,103.6,Others,5.0,6.25,Volkswagen
55,Chevrolet Sail,Kolkata,2014,9500.0,Petrol,Manual,18.2,1199,82.5,Black/Silver,5.0,3.5,Chevrolet
56,Renault Duster,Bangalore,2014,52000.0,Petrol,Manual,13.24,1598,102.57,White,5.0,5.99,Renault
57,Maruti Ertiga,Kolkata,2013,53073.0,Diesel,Manual,20.77,1248,88.76,Black/Silver,7.0,5.95,Maruti
58,Maruti Alto,Ahmedabad,2009,35000.0,Petrol,Manual,19.7,796,46.3,White,5.0,1.5,Maruti
59,Hyundai Grand,Coimbatore,2016,29091.0,Petrol,Manual,18.9,1197,81.86,Others,5.0,4.87,Hyundai
60,Renault Duster,Kochi,2015,82603.0,Petrol,Manual,13.06,1598,102.53,Others,5.0,4.9,Renault
61,Volkswagen Jetta,Coimbatore,2016,44340.0,Diesel,Automatic,16.96,1968,138.03,Black/Silver,5.0,13.83,Volkswagen
62,Maruti Alto,Bangalore,2011,64357.0,Petrol,Manual,24.07,998,67.1,Others,5.0,2.75,Maruti
63,Honda Jazz,Kolkata,2015,45000.0,Petrol,Manual,18.7,1199,88.7,White,5.0,4.75,Honda
64,Maruti Ciaz,Coimbatore,2016,41810.0,Petrol,Manual,20.73,1373,91.1,Black/Silver,5.0,7.11,Maruti
65,Hyundai i10,Ahmedabad,2014,47003.0,Petrol,Manual,20.36,1197,78.9,Black/Silver,5.0,3.67,Hyundai
66,Audi A6,Coimbatore,2009,48040.0,Diesel,Automatic,16.77,2967,241.38,Black/Silver,5.0,12.07,Audi
67,Honda Jazz,Kochi,2017,24700.0,Petrol,Manual,18.7,1199,88.7,Black/Silver,5.0,7.07,Honda
68,Volkswagen Polo,Hyderabad,2012,63000.0,Diesel,Manual,22.07,1199,73.9,Others,5.0,4.2,Volkswagen
69,Honda CR-V,Pune,2015,63050.0,Petrol,Automatic,11.1,2354,158.8,White,5.0,17.5,Honda
70,Mahindra XUV500,Kolkata,2013,87284.0,Diesel,Manual,15.1,2179,140.0,White,7.0,7.8,Mahindra
71,Mercedes-Benz New,Hyderabad,2012,86000.0,Diesel,Automatic,14.84,2143,170.0,White,5.0,19.0,Mercedes-Benz
72,BMW 3,Kochi,2017,55389.0,Diesel,Automatic,18.88,1995,184.0,Others,5.0,28.45,BMW
73,Honda Civic,Mumbai,2008,87000.0,Petrol,Manual,13.5,1799,130.0,White,5.0,2.35,Honda
74,BMW X1,Hyderabad,2014,45000.0,Diesel,Automatic,17.05,1995,184.0,Black/Silver,5.0,21.5,BMW
75,Hyundai Verna,Coimbatore,2013,66930.0,Petrol,Manual,17.1,1591,121.3,Others,5.0,6.15,Hyundai
76,Hyundai i10,Pune,2009,62500.0,Petrol,Manual,20.36,1197,78.9,White,5.0,2.1,Hyundai
77,Honda Jazz,Hyderabad,2015,67000.0,Diesel,Manual,27.3,1498,98.6,Others,5.0,6.9,Honda
78,Honda City,Coimbatore,2012,66245.0,Petrol,Manual,17.0,1497,118.0,Black/Silver,5.0,5.68,Honda
79,Honda City,Mumbai,2010,69000.0,Petrol,Automatic,16.8,1497,118.0,White,5.0,2.85,Honda
80,Skoda Superb,Kochi,2016,61648.0,Petrol,Automatic,13.7,1798,157.75,Others,5.0,14.23,Skoda
81,Maruti Ritz,Coimbatore,2011,90207.0,Diesel,Manual,21.1,1248,73.9,White,5.0,3.91,Maruti
82,Mitsubishi Pajero,Mumbai,2004,129000.0,Diesel,Manual,10.5,2835,107.2,White,6.0,3.45,Mitsubishi
83,Toyota Corolla,Kolkata,2014,27000.0,Petrol,Manual,14.28,1798,138.03,White,5.0,7.95,Toyota
84,Hyundai Elantra,Pune,2013,48823.0,Diesel,Automatic,19.5,1582,126.24,Black/Silver,5.0,8.5,Hyundai
85,Audi Q7,Hyderabad,2011,98000.0,Diesel,Automatic,12.07,2967,241.4,Others,7.0,22.0,Audi
86,Ford Figo,Bangalore,2010,78400.0,Petrol,Manual,15.6,1196,70.0,Others,5.0,2.75,Ford
87,Ford Figo,Hyderabad,2016,72566.0,Diesel,Manual,25.83,1498,99.0,White,5.0,5.29,Ford
88,Honda City,Delhi,2011,68000.0,Petrol,Manual,17.0,1497,118.0,Black/Silver,5.0,3.6,Honda
89,Hyundai EON,Pune,2015,55000.0,Petrol,Manual,22.0,814,55.0,Others,5.0,2.61,Hyundai
90,Maruti Ertiga,Pune,2016,63000.0,Diesel,Manual,24.52,1248,88.5,White,7.0,8.15,Maruti
91,Nissan Teana,Mumbai,2015,74000.0,Petrol,Automatic,11.07,2496,179.5,Others,5.0,8.25,Nissan
92,Honda Amaze,Jaipur,2018,6000.0,Petrol,Manual,19.5,1199,86.76,White,5.0,6.7,Honda
93,Maruti SX4,Pune,2008,85000.0,Petrol,Manual,16.51,1586,103.2,Black/Silver,5.0,2.5,Maruti
94,Volkswagen Jetta,Kolkata,2012,67000.0,Diesel,Manual,19.33,1968,138.1,White,5.0,5.0,Volkswagen
95,Maruti Swift,Jaipur,2016,41460.0,Diesel,Manual,25.2,1248,74.0,White,5.0,5.9,Maruti
96,Mercedes-Benz CLA,Coimbatore,2017,13689.0,Diesel,Automatic,17.9,2143,136.0,Others,5.0,28.25,Mercedes-Benz
97,Land Rover Range,Delhi,2015,37000.0,Diesel,Automatic,12.7,2179,187.7,White,5.0,36.0,Land
98,Volkswagen Polo,Kolkata,2012,45000.0,Diesel,Manual,22.07,1199,73.9,White,5.0,2.99,Volkswagen
99,Audi Q3,Coimbatore,2016,58661.0,Diesel,Automatic,15.17,1968,181.0,Others,5.0,28.03,Audi
100,Ford Fiesta,Bangalore,2011,47000.0,Diesel,Manual,23.5,1498,90.0,Black/Silver,5.0,6.0,Ford
101,Tata Indica,Hyderabad,2011,96000.0,Diesel,Manual,17.88,1396,52.8,White,5.0,0.91,Tata
102,BMW 5,Pune,2008,112500.0,Diesel,Automatic,11.5,2993,235.0,Black/Silver,5.0,7.99,BMW
103,Ford Ecosport,Coimbatore,2019,23154.0,Diesel,Manual,23.0,1498,98.96,Black/Silver,5.0,11.65,Ford
104,Maruti Ciaz,Kochi,2018,41283.0,Petrol,Manual,20.73,1373,91.1,Others,5.0,9.9,Maruti
105,Audi Q7,Coimbatore,2012,91743.0,Diesel,Automatic,12.07,2967,241.4,Black/Silver,7.0,28.55,Audi
106,Volvo S80,Hyderabad,2008,79000.0,Diesel,Automatic,13.1,2400,215.0,Black/Silver,5.0,10.99,Volvo
107,Hyundai EON,Hyderabad,2013,84600.0,Petrol,Manual,21.1,814,55.2,White,5.0,2.5,Hyundai
108,Land Rover Range,Coimbatore,2017,49275.0,Diesel,Automatic,12.7,2179,187.7,Others,5.0,45.64,Land
109,Ford Figo,Chennai,2010,107389.0,Diesel,Manual,20.0,1399,68.0,White,5.0,1.9,Ford
110,Tata Indica,Chennai,2016,178000.0,Diesel,Manual,25.0,1396,69.0,Others,5.0,2.5,Tata
111,Maruti Wagon,Kolkata,2015,14000.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,2.8,Maruti
112,Maruti Swift,Coimbatore,2019,41075.0,Diesel,Manual,28.4,1248,74.0,Black/Silver,5.0,8.4,Maruti
113,Land Rover Range,Coimbatore,2013,75995.0,Diesel,Automatic,11.49,4367,335.3,White,5.0,65.81,Land
114,Hyundai i10,Kochi,2014,58472.0,Petrol,Manual,19.81,1086,68.05,Others,5.0,3.41,Hyundai
115,Toyota Innova,Coimbatore,2017,65367.0,Diesel,Automatic,11.36,2755,171.5,Black/Silver,7.0,20.14,Toyota
116,Skoda Fabia,Jaipur,2009,87459.0,Petrol,Manual,14.7,1390,85.0,Others,5.0,2.75,Skoda
117,Volkswagen Vento,Kochi,2016,50867.0,Diesel,Manual,20.34,1498,103.2,Black/Silver,5.0,7.95,Volkswagen
118,Volkswagen Polo,Hyderabad,2013,74000.0,Diesel,Manual,22.07,1199,73.9,Others,5.0,4.85,Volkswagen
119,Maruti Wagon,Delhi,2011,68000.0,Petrol,Manual,18.9,998,67.1,White,5.0,2.5,Maruti
120,Honda City,Pune,2014,58407.0,Petrol,Manual,17.4,1497,117.3,Others,5.0,6.16,Honda
121,Audi A4,Ahmedabad,2011,59000.0,Diesel,Automatic,16.55,1968,140.0,Others,5.0,12.5,Audi
122,Maruti Swift,Coimbatore,2017,46849.0,Petrol,Automatic,18.5,1197,83.14,White,5.0,6.93,Maruti
123,Mercedes-Benz E-Class,Coimbatore,2018,41467.0,Diesel,Automatic,15.0,2143,204.0,Others,5.0,37.98,Mercedes-Benz
124,Maruti Ciaz,Hyderabad,2017,15234.0,Petrol,Automatic,19.12,1373,91.1,White,5.0,9.95,Maruti
125,Mahindra Scorpio,Bangalore,2015,35000.0,Diesel,Manual,15.4,2179,120.0,Others,7.0,8.5,Mahindra
126,Honda Brio,Mumbai,2017,20000.0,Petrol,Automatic,16.5,1198,86.8,White,5.0,5.99,Honda
127,Honda Amaze,Pune,2015,79000.0,Petrol,Manual,18.0,1198,86.7,Black/Silver,5.0,4.0,Honda
128,Honda Jazz,Coimbatore,2017,49575.0,Petrol,Manual,18.7,1199,88.7,White,5.0,7.17,Honda
129,Land Rover Discovery,Mumbai,2017,35000.0,Diesel,Automatic,18.0,2993,255.0,White,7.0,41.6,Land
130,Ford Ikon,Jaipur,2010,82000.0,Diesel,Manual,13.8,1399,68.0,White,5.0,1.0,Ford
131,Ford Figo,Mumbai,2010,69009.0,Petrol,Manual,15.6,1196,70.0,Others,5.0,2.4,Ford
132,Audi A6,Kolkata,2010,35010.0,Diesel,Automatic,12.4,2698,179.5,Black/Silver,5.0,11.5,Audi
133,Toyota Innova,Delhi,2012,62000.0,Diesel,Manual,12.99,2494,100.0,White,7.0,7.75,Toyota
134,Toyota Corolla,Chennai,2009,32000.0,Petrol,Manual,14.28,1798,138.03,Others,5.0,4.95,Toyota
135,Maruti Swift,Kochi,2015,35082.0,Diesel,Manual,23.4,1248,74.0,Black/Silver,5.0,6.61,Maruti
136,Maruti Wagon,Delhi,2009,60000.0,Petrol,Manual,18.9,1061,67.0,Others,5.0,1.35,Maruti
137,Hyundai Santa,Coimbatore,2013,65278.0,Diesel,Manual,14.66,2199,194.3,Others,7.0,8.36,Hyundai
138,Maruti SX4,Jaipur,2016,70000.0,Diesel,Manual,23.65,1248,88.5,White,5.0,8.85,Maruti
139,Maruti Alto,Bangalore,2014,73000.0,Petrol,Manual,24.7,796,47.3,Others,5.0,2.75,Maruti
140,Mahindra Bolero,Hyderabad,2017,40279.0,Diesel,Manual,16.5,1493,70.0,Others,7.0,8.0,Mahindra
141,Hyundai i10,Ahmedabad,2014,51000.0,Petrol,Manual,20.36,1197,78.9,White,5.0,3.75,Hyundai
142,Maruti Baleno,Kochi,2018,42243.0,Diesel,Manual,27.39,1248,74.0,White,5.0,7.48,Maruti
143,Volkswagen Vento,Kolkata,2015,39000.0,Petrol,Manual,15.04,1598,103.2,White,5.0,3.99,Volkswagen
144,Maruti Ritz,Kolkata,2011,150000.0,Petrol,Manual,18.5,1197,85.8,Others,5.0,2.5,Maruti
145,Maruti Swift,Kolkata,2016,100000.0,Diesel,Manual,23.4,1248,74.0,Others,5.0,3.5,Maruti
146,Maruti Dzire,Pune,2012,150000.0,Diesel,Manual,28.4,1248,73.75,White,5.0,2.25,Maruti
147,Renault KWID,Kolkata,2017,25000.0,Petrol,Manual,25.17,799,53.3,Others,5.0,2.99,Renault
148,Maruti Wagon,Hyderabad,2015,45295.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,4.3,Maruti
149,Volkswagen Vento,Jaipur,2016,33000.0,Petrol,Manual,16.09,1598,103.5,White,5.0,7.7,Volkswagen
150,Maruti Swift,Hyderabad,2016,52000.0,Diesel,Manual,28.4,1248,74.0,Others,5.0,5.95,Maruti
151,Maruti Celerio,Delhi,2014,21701.0,Petrol,Manual,23.1,998,67.04,Black/Silver,5.0,3.38,Maruti
152,Hyundai i20,Coimbatore,2012,38214.0,Petrol,Manual,18.5,1197,80.0,White,5.0,4.05,Hyundai
153,Maruti Ertiga,Hyderabad,2015,59245.0,Diesel,Manual,20.77,1248,88.8,Others,7.0,8.5,Maruti
154,Chevrolet Optra,Jaipur,2007,118500.0,Petrol,Manual,12.9,1598,102.5,White,5.0,1.25,Chevrolet
155,Honda City,Coimbatore,2018,20300.0,Petrol,Automatic,18.0,1497,117.3,White,5.0,14.21,Honda
156,Mercedes-Benz GLC,Bangalore,2016,44414.0,Diesel,Automatic,17.9,2143,170.0,White,5.0,42.5,Mercedes-Benz
157,Chevrolet Beat,Chennai,2012,81000.0,Diesel,Manual,25.44,936,56.3,White,5.0,2.5,Chevrolet
158,Honda City,Kolkata,2014,37298.0,Diesel,Manual,25.1,1498,98.6,Black/Silver,5.0,4.9,Honda
159,Toyota Corolla,Delhi,2015,12000.0,Petrol,Manual,14.53,1798,138.0,Others,5.0,11.0,Toyota
160,Hyundai i20,Jaipur,2016,30292.0,Petrol,Manual,18.6,1197,81.83,Black/Silver,5.0,6.3,Hyundai
161,Audi A4,Delhi,2012,60000.0,Diesel,Automatic,15.2,1968,140.8,Others,5.0,10.35,Audi
162,Hyundai i20,Ahmedabad,2011,72000.0,Petrol,Manual,17.0,1197,80.0,White,5.0,3.25,Hyundai
163,Ford Figo,Hyderabad,2012,73500.0,Diesel,Manual,20.0,1399,68.0,White,5.0,2.6,Ford
164,BMW 3,Kochi,2012,55598.0,Diesel,Automatic,22.69,1995,190.0,Black/Silver,5.0,11.5,BMW
165,Maruti Swift,Delhi,2015,24296.0,Petrol,Manual,20.85,1197,83.14,White,5.0,4.65,Maruti
166,Toyota Fortuner,Hyderabad,2010,100000.0,Diesel,Manual,11.5,2982,171.0,White,7.0,13.0,Toyota
167,Maruti Wagon,Delhi,2013,62000.0,CNG,Manual,26.6,998,58.16,White,5.0,2.8,Maruti
168,Chevrolet Beat,Coimbatore,2013,75421.0,Diesel,Manual,25.44,936,56.3,Others,5.0,3.63,Chevrolet
169,Honda City,Coimbatore,2012,60908.0,Petrol,Automatic,15.6,1497,116.3,Others,5.0,6.42,Honda
170,Maruti Swift,Hyderabad,2016,69000.0,Diesel,Manual,19.3,1248,73.9,Black/Silver,5.0,4.79,Maruti
171,Maruti Zen,Ahmedabad,2007,75180.0,Petrol,Manual,18.2,1061,64.0,Black/Silver,5.0,1.65,Maruti
172,BMW X3,Kochi,2017,36935.0,Diesel,Automatic,18.56,1995,190.0,White,5.0,32.64,BMW
173,BMW 3,Hyderabad,2012,57156.0,Diesel,Automatic,18.88,1995,184.0,Others,5.0,18.0,BMW
174,Maruti Swift,Kochi,2016,45725.0,Diesel,Manual,25.2,1248,74.0,White,5.0,5.34,Maruti
175,Skoda Fabia,Mumbai,2009,86000.0,Diesel,Manual,19.4,1422,70.0,White,5.0,2.75,Skoda
176,Hyundai Grand,Jaipur,2015,14000.0,Petrol,Manual,18.9,1197,82.0,Black/Silver,5.0,4.6,Hyundai
177,BMW 3,Mumbai,2013,25000.0,Diesel,Automatic,22.69,1995,190.0,Black/Silver,5.0,17.99,BMW
178,Nissan Micra,Pune,2011,72000.0,Diesel,Manual,23.08,1461,63.1,Black/Silver,5.0,2.3,Nissan
179,Toyota Etios,Pune,2011,37000.0,Petrol,Manual,17.6,1496,88.73,Black/Silver,5.0,2.8,Toyota
180,Maruti Wagon,Coimbatore,2008,53934.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,2.69,Maruti
181,Mahindra Scorpio,Mumbai,2010,76477.0,Diesel,Manual,10.5,2179,120.0,White,8.0,4.25,Mahindra
182,Maruti Ertiga,Kolkata,2014,47052.0,Diesel,Manual,20.77,1248,88.76,White,7.0,5.99,Maruti
183,Hyundai i10,Bangalore,2010,69000.0,Petrol,Manual,20.36,1197,78.9,Others,5.0,2.9,Hyundai
184,Audi A4,Pune,2013,87000.0,Diesel,Automatic,17.11,1968,174.33,White,5.0,15.5,Audi
185,Volkswagen Jetta,Chennai,2009,100970.0,Diesel,Automatic,15.5,1896,105.0,Others,5.0,4.0,Volkswagen
186,Hyundai i20,Coimbatore,2016,44238.0,Petrol,Manual,18.6,1197,81.83,Others,5.0,6.72,Hyundai
187,Skoda Rapid,Kolkata,2015,45000.0,Diesel,Automatic,21.66,1498,103.52,White,5.0,4.25,Skoda
188,Maruti Swift,Kolkata,2014,47000.0,Diesel,Manual,22.9,1248,74.0,Black/Silver,5.0,3.9,Maruti
189,Hyundai Grand,Mumbai,2015,20000.0,Petrol,Manual,18.9,1197,82.0,White,5.0,3.85,Hyundai
190,Toyota Corolla,Kochi,2013,55101.0,Petrol,Automatic,14.53,1794,138.1,Black/Silver,5.0,8.4,Toyota
191,Honda Brio,Chennai,2012,31500.0,Petrol,Automatic,16.5,1198,86.8,White,5.0,4.15,Honda
192,Honda City,Kolkata,2014,40000.0,Petrol,Manual,16.8,1497,116.3,White,5.0,6.49,Honda
193,Mercedes-Benz CLA,Kochi,2019,29836.0,Diesel,Automatic,17.9,2143,136.0,White,5.0,25.75,Mercedes-Benz
194,Honda City,Mumbai,2017,17000.0,Petrol,Automatic,18.0,1497,117.3,White,5.0,11.6,Honda
195,Honda Civic,Delhi,2011,62000.0,Petrol,Automatic,12.9,1799,130.0,Black/Silver,5.0,3.75,Honda
196,Hyundai Elantra,Bangalore,2014,46374.0,Petrol,Automatic,14.62,1999,149.92,White,5.0,8.85,Hyundai
197,Hyundai Creta,Kochi,2019,8587.0,Petrol,Manual,15.29,1591,121.3,White,5.0,13.56,Hyundai
198,Ford Endeavour,Kochi,2011,68022.0,Diesel,Manual,13.1,2499,141.0,Others,7.0,5.86,Ford
199,Maruti Wagon,Kolkata,2016,4800.0,Petrol,Manual,20.51,998,67.04,Others,5.0,3.6,Maruti
200,BMW 3,Hyderabad,2010,105000.0,Diesel,Automatic,13.2,1995,170.0,Others,5.0,11.0,BMW
201,BMW 7,Bangalore,2017,17465.0,Petrol,Automatic,12.05,2979,320.0,White,5.0,93.0,BMW
202,Honda City,Mumbai,2006,44000.0,Petrol,Manual,17.7,1497,78.0,White,5.0,1.55,Honda
203,Mercedes-Benz E-Class,Mumbai,2011,47000.0,Diesel,Automatic,14.21,2143,203.0,Others,5.0,13.9,Mercedes-Benz
204,BMW X5,Chennai,2009,110000.0,Diesel,Automatic,11.0,2993,235.0,White,5.0,18.0,BMW
205,Skoda Octavia,Hyderabad,2015,79000.0,Diesel,Automatic,19.3,1968,141.0,Black/Silver,5.0,17.0,Skoda
206,Mercedes-Benz E-Class,Coimbatore,2015,73187.0,Diesel,Automatic,13.0,2143,204.0,Black/Silver,5.0,30.72,Mercedes-Benz
207,Maruti Alto,Pune,2012,69000.0,Petrol,Manual,20.92,998,67.1,Black/Silver,5.0,2.1,Maruti
208,Maruti Baleno,Kolkata,2016,20000.0,Petrol,Automatic,21.4,1197,83.1,Others,5.0,5.74,Maruti
209,Hyundai i20,Hyderabad,2010,85155.0,Petrol,Manual,17.0,1197,80.0,Others,5.0,3.55,Hyundai
210,Honda Amaze,Kochi,2016,51806.0,Diesel,Manual,25.8,1498,98.6,Others,5.0,5.4,Honda
211,Hyundai Grand,Kochi,2018,5354.0,Petrol,Automatic,18.9,1197,81.86,Others,5.0,6.76,Hyundai
212,Skoda Superb,Pune,2014,136000.0,Petrol,Manual,13.1,1798,157.75,White,5.0,9.5,Skoda
213,Hyundai i20,Delhi,2014,67407.0,Diesel,Manual,21.27,1396,88.76,Others,5.0,4.65,Hyundai
214,Mercedes-Benz GLC,Mumbai,2018,10003.0,Diesel,Automatic,17.9,2143,170.0,White,5.0,48.5,Mercedes-Benz
215,Mercedes-Benz E-Class,Bangalore,2011,34000.0,Petrol,Automatic,10.5,1796,157.7,Others,5.0,19.0,Mercedes-Benz
216,Hyundai i10,Mumbai,2015,75915.0,Petrol,Manual,20.36,1197,78.9,Black/Silver,5.0,3.9,Hyundai
217,Tata Zest,Kochi,2017,48198.0,Petrol,Manual,17.57,1193,88.7,Black/Silver,5.0,4.65,Tata
218,Maruti Baleno,Chennai,2016,35129.0,Petrol,Automatic,21.4,1197,83.1,White,5.0,7.0,Maruti
219,Honda Civic,Hyderabad,2008,69972.0,Petrol,Manual,13.5,1799,130.0,Black/Silver,5.0,3.8,Honda
220,Audi A6,Mumbai,2013,56500.0,Diesel,Automatic,17.68,1968,174.33,White,5.0,19.8,Audi
221,Skoda Rapid,Coimbatore,2019,21214.0,Petrol,Manual,15.41,1598,103.52,Others,5.0,9.66,Skoda
222,Toyota Fortuner,Jaipur,2016,73053.0,Diesel,Manual,13.0,2982,168.5,White,7.0,20.0,Toyota
223,Ford Ecosport,Mumbai,2017,27000.0,Petrol,Manual,15.8,1499,110.0,White,5.0,8.3,Ford
224,Hyundai i20,Pune,2010,50000.0,Petrol,Manual,17.0,1197,80.0,Black/Silver,5.0,3.0,Hyundai
225,BMW X3,Coimbatore,2017,51982.0,Diesel,Automatic,16.55,2993,258.0,Others,5.0,45.77,BMW
